"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.933450833E-1,-3.872705944E-2,-2.293570340E-3,-2.600747967E-1
9.032880834E-1,-2.561007366E-2,-2.473518401E-3,-2.079492080E-1
9.132310834E-1,-2.647114925E-2,-2.243737444E-2,-7.294343054E-2
9.231740833E-1,-3.486862801E-2,-3.746051598E-2,-6.824694693E-2
9.331160834E-1,-3.820373364E-2,-5.353235565E-2,-1.834476203E-1
9.430590834E-1,-3.945744976E-2,-4.906606961E-2,-3.214191055E-1
9.530020833E-1,-3.536352172E-2,-3.666737773E-2,-3.367300397E-1
9.629450834E-1,-2.656952865E-2,-3.421487276E-2,-2.062003058E-1
9.728880834E-1,-2.224361233E-2,-5.599100020E-2,-4.811790705E-2
9.828310834E-1,-2.856635280E-2,-5.931042798E-2,2.312339902E-2
9.927740833E-1,-5.396424562E-2,-2.924349692E-2,1.191604078E-2
1.002717083E0,-9.039912343E-2,3.297197398E-2,-4.091881514E-2
1.012660083E0,-1.188300401E-1,8.267612100E-2,-7.319953859E-2
1.022603083E0,-1.370475521E-1,1.008506925E-1,-8.439227879E-2
1.032546083E0,-1.163290398E-1,1.129505551E-1,-7.046011806E-2
1.042488083E0,-9.913508289E-2,1.104533920E-1,-6.166824460E-2
1.052431083E0,-8.014705405E-2,1.081148712E-1,-8.226213813E-2
1.062374083E0,-5.578448385E-2,9.377936225E-2,-1.044441354E-1
1.072317083E0,-4.806550138E-2,6.736229975E-2,-1.109555948E-1
1.082260083E0,-4.296270937E-2,2.982672013E-2,-1.167180258E-1
1.092203083E0,-3.691749237E-2,-4.689466953E-4,-1.272073460E-1
1.102146083E0,-3.329324193E-2,-5.428492885E-2,-1.358144474E-1
1.112089083E0,-3.501327351E-2,-9.763523553E-2,-1.494513237E-1
1.122032083E0,-3.567130454E-2,-1.297720809E-1,-1.492367309E-1
1.131975083E0,-3.809490234E-2,-1.375430305E-1,-1.605417377E-1
1.141917083E0,-2.745625891E-2,-1.400965096E-1,-1.531578737E-1
1.151860083E0,-3.747655928E-2,-1.428035146E-1,-1.476497966E-1
1.161803083E0,-4.434711076E-2,-1.102180416E-1,-1.304086965E-1
1.171746083E0,-3.715035774E-2,-7.740682952E-2,-1.540735477E-1
1.181689083E0,-4.426663846E-2,-4.125228915E-2,-1.044242549E-1
1.191632083E0,-4.597482942E-2,1.602765664E-2,-4.151113808E-2
1.201575083E0,-6.042892724E-2,5.583575662E-2,-8.148972094E-2
1.211518083E0,-5.775258355E-2,9.974929634E-2,-1.999385226E-1
1.221461083E0,-3.921186671E-2,1.333314273E-1,-1.970353800E-1
1.231404083E0,-2.085190192E-2,1.285195342E-1,-1.646061373E-1
1.241346083E0,-1.369015910E-2,1.047575462E-1,-1.169209242E-1
1.251289083E0,-1.767452493E-2,7.027958527E-2,-8.709661603E-2
1.261232083E0,-3.212643005E-2,4.588898499E-2,-7.617577136E-2
1.271175083E0,-5.140170336E-2,1.313383307E-2,-5.819207489E-2
1.281118083E0,-6.910122514E-2,-7.069100998E-3,-6.726929247E-2
1.291061083E0,-7.634563297E-2,-5.155109972E-2,-1.085430336E-1
1.301004083E0,-7.996462092E-2,-6.840167888E-2,-1.574549925E-1
1.310947083E0,-7.125753209E-2,-6.859481972E-2,-1.884317869E-1
1.320890083E0,-6.730817646E-2,-6.624153469E-2,-1.768455291E-1
1.330833083E0,-6.202667892E-2,-6.690998107E-2,-1.566726351E-1
1.340776083E0,-6.093851209E-2,-4.355199907E-2,-1.155287021E-1
1.350718083E0,-6.307903156E-2,-2.415269170E-2,-1.062895167E-1
1.360661083E0,-8.049496338E-2,-9.964788370E-3,-1.051668513E-1
1.370604083E0,-8.863282576E-2,9.953861386E-3,-1.074683154E-1
1.380547083E0,-9.706787288E-2,7.588041387E-3,-1.154591203E-1
